"","year","sitecode","section","reach","pass","unitnum","unittype","vert_index","pitnumber","species","length_1_mm","length_2_mm","weight_g","clip","sampledate","notes"
"1",1987,"MACKCC-L","CC","L",1,1,"R",1,NA,"Cutthroat trout",58,NA,1.75,"NONE",1987-10-07,NA
"2",1987,"MACKCC-L","CC","L",1,1,"R",2,NA,"Cutthroat trout",61,NA,1.95,"NONE",1987-10-07,NA
"3",1987,"MACKCC-L","CC","L",1,1,"R",3,NA,"Cutthroat trout",89,NA,5.6,"NONE",1987-10-07,NA
"4",1987,"MACKCC-L","CC","L",1,1,"R",4,NA,"Cutthroat trout",58,NA,2.15,"NONE",1987-10-07,NA
"5",1987,"MACKCC-L","CC","L",1,1,"R",5,NA,"Cutthroat trout",93,NA,6.9,"NONE",1987-10-07,NA
"6",1987,"MACKCC-L","CC","L",1,1,"R",6,NA,"Cutthroat trout",86,NA,5.9,"NONE",1987-10-07,NA
"7",1987,"MACKCC-L","CC","L",1,1,"R",7,NA,"Cutthroat trout",107,NA,10.5,"NONE",1987-10-07,NA
"8",1987,"MACKCC-L","CC","L",1,1,"R",8,NA,"Cutthroat trout",131,NA,20.6,"NONE",1987-10-07,NA
"9",1987,"MACKCC-L","CC","L",1,1,"R",9,NA,"Cutthroat trout",103,NA,9.55,"NONE",1987-10-07,NA
"10",1987,"MACKCC-L","CC","L",1,1,"R",10,NA,"Cutthroat trout",117,NA,13,"NONE",1987-10-07,NA
"11",1987,"MACKCC-L","CC","L",1,1,"R",11,NA,"Cutthroat trout",100,NA,8.25,"NONE",1987-10-07,NA
"12",1987,"MACKCC-L","CC","L",1,1,"R",12,NA,"Cutthroat trout",127,NA,17.7,"NONE",1987-10-07,NA
"13",1987,"MACKCC-L","CC","L",1,1,"R",13,NA,"Cutthroat trout",99,NA,8.15,"NONE",1987-10-07,NA
"14",1987,"MACKCC-L","CC","L",1,1,"R",14,NA,"Cutthroat trout",111,NA,11.25,"NONE",1987-10-07,NA
"15",1987,"MACKCC-L","CC","L",1,1,"R",15,NA,"Cutthroat trout",149,NA,27.15,"NONE",1987-10-07,NA
"16",1987,"MACKCC-L","CC","L",1,1,"R",16,NA,"Cutthroat trout",102,NA,9.25,"NONE",1987-10-07,NA
"17",1987,"MACKCC-L","CC","L",1,2,"C",1,NA,"Cutthroat trout",53,NA,1.45,"NONE",1987-10-07,NA
"18",1987,"MACKCC-L","CC","L",1,2,"C",2,NA,"Cutthroat trout",58,NA,2.1,"NONE",1987-10-07,NA
"19",1987,"MACKCC-L","CC","L",1,2,"C",3,NA,"Cutthroat trout",58,NA,2.05,"NONE",1987-10-07,NA
"20",1987,"MACKCC-L","CC","L",1,2,"C",4,NA,"Cutthroat trout",105,NA,10.85,"NONE",1987-10-07,NA
"21",1987,"MACKCC-L","CC","L",1,2,"C",5,NA,"Cutthroat trout",145,NA,22.9,"NONE",1987-10-07,NA
"22",1987,"MACKCC-L","CC","L",1,2,"C",6,NA,"Cutthroat trout",97,NA,7.3,"NONE",1987-10-07,NA
"23",1987,"MACKCC-L","CC","L",1,2,"C",7,NA,"Cutthroat trout",118,NA,12,"NONE",1987-10-07,NA
"24",1987,"MACKCC-L","CC","L",1,2,"C",8,NA,"Cutthroat trout",110,NA,11.1,"NONE",1987-10-07,NA
"25",1987,"MACKCC-L","CC","L",1,2,"C",9,NA,"Cutthroat trout",133,NA,19.1,"NONE",1987-10-07,NA
"26",1987,"MACKCC-L","CC","L",1,2,"C",10,NA,"Cutthroat trout",99,NA,7.75,"NONE",1987-10-07,NA
"27",1987,"MACKCC-L","CC","L",1,2,"C",11,NA,"Cutthroat trout",93,NA,7.05,"NONE",1987-10-07,NA
"28",1987,"MACKCC-L","CC","L",1,2,"C",12,NA,"Cutthroat trout",155,NA,30.85,"NONE",1987-10-07,NA
