"","date","station","mean_airtemp","daily_precip","mean_windspeed"
"1",1988-06-01,"Toolik Field Station",8.4,0,NA
"2",1988-06-02,"Toolik Field Station",6,0,NA
"3",1988-06-03,"Toolik Field Station",5.8,0,NA
"4",1988-06-04,"Toolik Field Station",1.8,0,NA
"5",1988-06-05,"Toolik Field Station",6.8,2.5,NA
"6",1988-06-06,"Toolik Field Station",5.2,0,NA
"7",1988-06-07,"Toolik Field Station",2.2,7.6,NA
"8",1988-06-08,"Toolik Field Station",9.4,0,NA
"9",1988-06-09,"Toolik Field Station",13.1,0,NA
"10",1988-06-10,"Toolik Field Station",17.7,0,3.9
"11",1988-06-11,"Toolik Field Station",13.9,11.4,2.2
"12",1988-06-12,"Toolik Field Station",9.2,1,2.4
"13",1988-06-13,"Toolik Field Station",9.5,1,2.2
"14",1988-06-14,"Toolik Field Station",13.3,0,NA
"15",1988-06-15,"Toolik Field Station",12.2,0,NA
"16",1988-06-16,"Toolik Field Station",4.7,0,2.6
"17",1988-06-17,"Toolik Field Station",8.6,0,2.3
"18",1988-06-18,"Toolik Field Station",11.8,2.3,3.1
"19",1988-06-19,"Toolik Field Station",11.7,11.4,3
"20",1988-06-20,"Toolik Field Station",8.5,0.3,2.8
"21",1988-06-21,"Toolik Field Station",10.7,0.3,3.1
"22",1988-06-22,"Toolik Field Station",6.6,4.8,3.6
"23",1988-06-23,"Toolik Field Station",6.1,0.8,3.8
"24",1988-06-24,"Toolik Field Station",7.7,1.8,2.6
"25",1988-06-25,"Toolik Field Station",13.4,0,3.9
"26",1988-06-26,"Toolik Field Station",12,0.5,3.6
"27",1988-06-27,"Toolik Field Station",10.6,0.5,2.5
"28",1988-06-28,"Toolik Field Station",12.8,3,2.6
"29",1988-06-29,"Toolik Field Station",13.9,0,2.7
"30",1988-06-30,"Toolik Field Station",14.8,0.5,2.6
"31",1988-07-01,"Toolik Field Station",14.8,0,2.4
"32",1988-07-02,"Toolik Field Station",16.7,0,3.8
"33",1988-07-03,"Toolik Field Station",16.6,0,3.8
"34",1988-07-04,"Toolik Field Station",13,0,3.7
"35",1988-07-05,"Toolik Field Station",14.1,0,3.1
"36",1988-07-06,"Toolik Field Station",15.2,0,2.7
"37",1988-07-07,"Toolik Field Station",12.9,0.3,3
"38",1988-07-08,"Toolik Field Station",11.4,0,3.5
"39",1988-07-09,"Toolik Field Station",12.2,0,3.1
"40",1988-07-10,"Toolik Field Station",13.1,0.8,2.9
"41",1988-07-11,"Toolik Field Station",13.3,6.9,2.5
"42",1988-07-12,"Toolik Field Station",14.6,0,2.6
"43",1988-07-13,"Toolik Field Station",17.2,0,2.6
"44",1988-07-14,"Toolik Field Station",17.7,0,2.7
"45",1988-07-15,"Toolik Field Station",13.8,6.9,3.3
"46",1988-07-16,"Toolik Field Station",15.1,0,2.8
"47",1988-07-17,"Toolik Field Station",8.5,4.3,2.4
"48",1988-07-18,"Toolik Field Station",10.5,0.8,2.3
"49",1988-07-19,"Toolik Field Station",10.8,1.5,2.7
"50",1988-07-20,"Toolik Field Station",9.4,0,3.5
"51",1988-07-21,"Toolik Field Station",3.2,0,3.3
"52",1988-07-22,"Toolik Field Station",3.5,0,3.1
"53",1988-07-23,"Toolik Field Station",5.3,0,3.4
"54",1988-07-24,"Toolik Field Station",8.7,0,2.2
"55",1988-07-25,"Toolik Field Station",11,0,4.6
"56",1988-07-26,"Toolik Field Station",10.8,0,4.2
"57",1988-07-27,"Toolik Field Station",12.7,0,4.5
"58",1988-07-28,"Toolik Field Station",13.9,0,3.4
"59",1988-07-29,"Toolik Field Station",12.2,0.5,3.1
"60",1988-07-30,"Toolik Field Station",11.9,0.5,3
"61",1988-07-31,"Toolik Field Station",9.2,9.9,4.3
"62",1988-08-01,"Toolik Field Station",7.6,11.7,2.6
"63",1988-08-02,"Toolik Field Station",10.4,0,2.3
"64",1988-08-03,"Toolik Field Station",7,9.9,4.2
"65",1988-08-04,"Toolik Field Station",8.6,0.3,1.8
"66",1988-08-05,"Toolik Field Station",12.9,0,2.6
"67",1988-08-06,"Toolik Field Station",13,0,2.8
"68",1988-08-07,"Toolik Field Station",8.8,4.3,4.1
"69",1988-08-08,"Toolik Field Station",0.6,5.6,2.5
"70",1988-08-09,"Toolik Field Station",5.3,0,2
"71",1988-08-10,"Toolik Field Station",8.3,0.3,3.6
"72",1988-08-11,"Toolik Field Station",10.2,2,4.3
"73",1988-08-12,"Toolik Field Station",3.8,15,4.1
"74",1988-08-13,"Toolik Field Station",7.6,0,3.1
"75",1988-08-14,"Toolik Field Station",10.1,2.3,7.5
"76",1988-08-15,"Toolik Field Station",10.7,0.3,5.8
"77",1988-08-16,"Toolik Field Station",10.3,1.3,2.4
"78",1988-08-17,"Toolik Field Station",14.2,0,3.5
"79",1988-08-18,"Toolik Field Station",11.1,0.3,3.4
