"","year","epa_region","state","number_NPDESpermits_majorwatershed","number_NPDESpermits_nonmajorwatershed","total_pollutants_lb_yr_majorwateshed","total_pollutants_lb_yr_nonmajorwateshed","total_TOXICpollutants_lb_yr_majorwatershed","total_TOXICpollutants_lb_yr_nonmajorwatershed"
"1",2022,"4","ALABAMA",175,1160,2018716804,3424749166,710508,183415603
"2",2022,"10","ALASKA",41,49,97712015,3888548,45290,256
"3",2022,"9","AMERICAN SAMOA",4,2,4238575,26126,422403913,12
"4",2022,"9","ARIZONA",77,91,852909029,21948922,2305904,26728
"5",2022,"6","ARKANSAS",116,684,431147690,95964247,436805,77438
"6",2022,"9","CALIFORNIA",232,192,2865739859,175944251,654798798,1092896
"7",2022,"8","COLORADO",124,429,397832214,318044976,72857,68517
"8",2022,"1","CONNECTICUT",84,64,47337120,60095303,690651,3302
"9",2022,"3","DELAWARE",16,31,12258504,251316,351868,1145
"10",2022,"3","DISTRICT OF COLUMBIA",4,7,8234158,225697,5182,6644
"11",2022,"4","FLORIDA",400,265,266363651,228327383,515793,278690
"12",2022,"4","GEORGIA",205,519,172677100,11395213,957060,2680600
"13",2022,"9","GUAM",4,8,3163748,1859910,2774,5
"14",2022,"6","GULF OF MEXICO",NA,1,NA,NA,NA,NA
"15",2022,"4","GULF OF MEXICO EAST",NA,1,NA,NA,NA,NA
"16",2022,"9","HAWAII",18,119,48885657,1647793,359009,941
"17",2022,"10","IDAHO",38,129,95971371,14060977338,13220,2209
"18",2022,"5","ILLINOIS",267,1237,900715833,344483570,5337090,188387
"19",2022,"5","INDIANA",189,10724,985490150,118250387,906523,252543
"20",2022,"7","IOWA",142,1440,95228786,46185387,41999,6015
"21",2022,"7","KANSAS",58,1322,243009945,99284529,259546,15052
"22",2022,"4","KENTUCKY",140,1249,475809525,142553603,2493181,335278
"23",2022,"6","LOUISIANA",240,1025,4520966218,9559354402,881098,953791
"24",2022,"1","MAINE",74,326,95543215,1101661,12787,2050
"25",2022,"9","MARIANA ISLANDS",2,3,343952,191,39,0
"26",2022,"3","MARYLAND",92,374,46756166,54756590,13095553,14154
"27",2022,"1","MASSACHUSETTS",119,93,162958758,116788504,602626,95378
"28",2022,"5","MICHIGAN",185,643,930210483,687004204,173442,54180
"29",2022,"5","MINNESOTA",102,553,2151793173,391417126,74075,11951
"30",2022,"4","MISSISSIPPI",92,1063,46667046,154354115,89731,25738
"31",2022,"7","MISSOURI",178,2647,753719419,6716924490,196684,2874099
"32",2022,"8","MONTANA",33,147,71563583,13237945,47104,952
"33",2022,"7","NEBRASKA",51,628,126617791,2187219050,26023,474640
"34",2022,"9","NEVADA",14,81,652022963,89699181,10989,14252
"35",2022,"1","NEW HAMPSHIRE",48,30,244303464,905608,669927818,231463
"36",2022,"2","NEW JERSEY",132,345,336437803,18994009,149255,6143
"37",2022,"6","NEW MEXICO",32,76,152935059,7799165502,111305484,1577883
"38",2022,"2","NEW YORK",312,1277,995629565,98844020739,985034,3640906
"39",2022,"4","NORTH CAROLINA",225,1146,269423426,14946346913,94580,394955
"40",2022,"8","NORTH DAKOTA",23,82,132706091,35485106,307204,30688
"41",2022,"5","OHIO",284,3041,4322624345,1072820986,126129,100109
"42",2022,"6","OKLAHOMA",106,347,2643895300,715685202,209774,53658
"43",2022,"10","OREGON",73,270,148582155,26944859,73190,39100
"44",2022,"3","PENNSYLVANIA",398,7201,2841497115,5022810531,10654217,5625927
"45",2022,"2","PUERTO RICO",63,137,3185610547,32796301,145232,5394
"46",2022,"1","RHODE ISLAND",23,47,15175529,4165468,26940,3924
"47",2022,"4","SOUTH CAROLINA",158,462,193345336,5150150,291658,491808
"48",2022,"8","SOUTH DAKOTA",23,233,26483540,44021360,7123,1500
"49",2022,"4","TENNESSEE",163,910,1341236618,122416893,1094031,40691
"50",2022,"6","TEXAS",730,2736,14084139365,1844160124,1734718,3562398
"51",2022,"8","UTAH",42,169,412043015,70716689,256535,15447
"52",2022,"1","VERMONT",34,300,10785536,1191156,20334,2266
"53",2022,"2","VIRGIN ISLANDS",8,73,1187481,20768692,552,4071
"54",2022,"3","VIRGINIA",151,1025,346629162,297107112,120838,145058
"55",2022,"10","WASHINGTON",77,377,3442391,7101598,1935,349
"56",2022,"3","WEST VIRGINIA",89,1902,706944085,2726232465,1015523,2557185
"57",2022,"5","WISCONSIN",126,1157,158784693,51332764,19149,3539
"58",2022,"8","WYOMING",24,605,52098441,772404800,1463,28113579
"59",2023,"4","ALABAMA",175,1149,2266637093,47593295623,466711,1180686
"60",2023,"10","ALASKA",40,51,122804262,2807306,41361,184
"61",2023,"9","AMERICAN SAMOA",4,1,3702708,26170,324,564
"62",2023,"9","ARIZONA",76,90,598468212,20017160,149397,365
"63",2023,"6","ARKANSAS",117,682,421492262,33731683,156402,28884
"64",2023,"9","CALIFORNIA",227,185,3337422095,108228621,12965954,37294
"65",2023,"8","COLORADO",124,423,407268162,282317338,77154,34170
"66",2023,"1","CONNECTICUT",84,64,35356901,32476134,925810,9071
"67",2023,"3","DELAWARE",15,31,10455192,315716,301436,845
"68",2023,"3","DISTRICT OF COLUMBIA",4,7,7959430,151113,4293,707
"69",2023,"4","FLORIDA",400,255,1331806074,180296486,511498,412276
"70",2023,"4","GEORGIA",204,511,173947892,112149855,1292631,20502
"71",2023,"9","GUAM",4,8,2346137,936180,817,9621
"72",2023,"6","GULF OF MEXICO",NA,1,NA,NA,NA,NA
"73",2023,"4","GULF OF MEXICO EAST",NA,1,NA,NA,NA,NA
"74",2023,"9","HAWAII",18,87,42950686,813821,8279,654
"75",2023,"10","IDAHO",38,129,88176116,73233777,16189,1594
"76",2023,"5","ILLINOIS",267,1228,595369336,433536371,665602,160117
"77",2023,"5","INDIANA",189,8293,2072041066,167677536,904823,12487
"78",2023,"7","IOWA",142,1426,67571846,38040390,136949,5352
"79",2023,"7","KANSAS",58,1319,192027992,76615219,90425,4941
"80",2023,"4","KENTUCKY",139,1223,844371511,137739027,51890,81735
"81",2023,"6","LOUISIANA",243,1015,2981787650,1263366188,591134,4236115
"82",2023,"1","MAINE",74,323,71753601,1080423,12102,2313
"83",2023,"9","MARIANA ISLANDS",2,3,561077,0,7,0
"84",2023,"3","MARYLAND",92,369,48829442,51175221,157883,10383
"85",2023,"1","MASSACHUSETTS",118,65,149408735,917150949,577509,24278
"86",2023,"5","MICHIGAN",183,667,795520973,689469338,249486,192079
"87",2023,"5","MINNESOTA",101,540,1859212566,327300470,154186,15891
"88",2023,"4","MISSISSIPPI",91,1055,47160490,93327329,82785,12373
"89",2023,"7","MISSOURI",178,2647,970424622,380728678713,205113,537453373
"90",2023,"8","MONTANA",32,142,70276524,135397542,15546,2369661
"91",2023,"7","NEBRASKA",52,623,113030784,2308698726,48703,226567
"92",2023,"9","NEVADA",15,82,653394964,28446029595,22174,31448500
"93",2023,"1","NEW HAMPSHIRE",46,21,177528497,652690,610080,14476
"94",2023,"2","NEW JERSEY",131,334,303872549,35799275,109735,10482
"95",2023,"6","NEW MEXICO",31,77,139079289,12572014,127984,19990
"96",2023,"2","NEW YORK",310,1274,862338810,4323320548,986871,271313
"97",2023,"4","NORTH CAROLINA",223,1151,205044969,4177647065,62268,69478
"98",2023,"8","NORTH DAKOTA",23,81,133642192,12750216,63649,42175
"99",2023,"5","OHIO",283,3002,3837460101,1405991436,99419,78827
"100",2023,"6","OKLAHOMA",106,342,2361564195,694021736,214156,11948
"101",2023,"10","OREGON",73,269,149945101,38132078,37519,25500
"102",2023,"3","PENNSYLVANIA",395,7460,1897573822,4241601765,6725483,1350131
"103",2023,"2","PUERTO RICO",63,136,2212774565,12785647,112480,2723
"104",2023,"1","RHODE ISLAND",23,46,14887764,9848763,58642,1569
"105",2023,"4","SOUTH CAROLINA",156,524,168414563,4017822,178094,280356
"106",2023,"8","SOUTH DAKOTA",23,226,23726579,44447869,7186,1582
"107",2023,"4","TENNESSEE",163,889,1192560256,71363376,668121,195556
"108",2023,"6","TEXAS",729,2830,12020087336,882362519,1138902,1046296
"109",2023,"8","UTAH",42,171,406630268,149233800,227471,2382
"110",2023,"1","VERMONT",34,299,10673343,1179738,13110,2665
"111",2023,"2","VIRGIN ISLANDS",8,74,2532704,14029679,744,2593
"112",2023,"3","VIRGINIA",149,1018,454335308,130904781,91588,6137
"113",2023,"10","WASHINGTON",77,373,426109,878922,142,294
"114",2023,"3","WEST VIRGINIA",88,1894,485202788,9970424437,1063456,3346407
"115",2023,"5","WISCONSIN",126,1154,148588176,230014871,20210,6256
"116",2023,"8","WYOMING",24,563,18584672,1502024116,1406,18123145
"117",2021,"4","ALABAMA",175,1178,2257509832,496972439,635676,302511
"118",2021,"10","ALASKA",41,50,94820028,540258216,29301,1642
"119",2021,"9","AMERICAN SAMOA",4,2,3975176,31878,948,15
"120",2021,"9","ARIZONA",78,94,907652603,24233350,438650,1621
"121",2021,"6","ARKANSAS",116,686,509905722,353377121,445041,53074
"122",2021,"9","CALIFORNIA",233,195,3429451756,100190050,5679241385,711681718
"123",2021,"8","COLORADO",124,434,412635522,350722840,610308,651028
"124",2021,"1","CONNECTICUT",85,64,38701797,58081730,1142546,6398
"125",2021,"3","DELAWARE",17,31,10772637,291586,384611,1204
"126",2021,"3","DISTRICT OF COLUMBIA",4,7,9374380,145362,6134,292
"127",2021,"4","FLORIDA",400,266,304976464,214157467,523587,836577
"128",2021,"4","GEORGIA",206,529,190685237,11121231,362799,30641
"129",2021,"9","GUAM",4,9,4432383,1792354,1735,7304
"130",2021,"6","GULF OF MEXICO",NA,1,NA,NA,NA,NA
