"","date","time","latitude","longitude","stop","subject","ta","vp","ws","mrt","pet"
"1",2018-09-29,"17:03:17",33.451521,-112.046628,"3","1",38.1,11,1.4,61.8,49.7
"2",2018-09-29,"17:03:17",33.451524,-112.046633,"3","1",38.1,12,1.6,61.5,49.4
"3",2018-09-29,"17:04:17",33.451536,-112.046661,"3","1",38.1,11,1.4,62.7,50.2
"4",2018-09-29,"17:04:17",33.45154,-112.046654,"3","1",38.1,11,1.4,62.7,50.2
"5",2018-09-29,"17:04:17",33.451556,-112.04663,"3","1",38,12,0.6,65,52.7
"6",2018-09-29,"17:04:17",33.451543,-112.046646,"3","1",38,12,0.8,64.4,52
"7",2018-09-29,"17:04:17",33.451554,-112.046646,"3","1",38,12,0.8,64.4,52
"8",2018-09-29,"17:05:17",33.451551,-112.046654,"3","1",38,12,0.8,64.4,52
"9",2018-09-29,"17:04:17",33.451573,-112.046643,"3","1",38,12,0.6,62.4,51.2
"10",2018-09-29,"16:57:16",33.451581,-112.04651,"3","2",38.2,12,1.6,59,48.3
"11",2018-09-29,"16:57:16",33.451591,-112.046511,"3","2",38.2,12,1.6,59,48.3
"12",2018-09-29,"16:58:16",33.451606,-112.046523,"3","2",38.2,12,1.6,59,48.3
"13",2018-09-29,"16:58:16",33.451588,-112.046553,"3","2",38.1,12,1.5,60.6,49.1
"14",2018-09-29,"16:58:16",33.4516,-112.04656,"3","2",38.1,12,1.5,60.6,49.1
"15",2018-09-29,"16:58:16",33.451628,-112.046546,"3","2",38.1,12,1.5,60.6,49.1
"16",2018-09-29,"16:59:16",33.451531,-112.04656,"3","2",38.1,12,1.5,60.6,49.1
"17",2018-09-29,"16:59:16",33.451554,-112.046584,"3","2",38.1,12,1.3,61.3,49.7
"18",2018-09-29,"16:59:16",33.451536,-112.046591,"3","2",38.1,12,1.3,61.3,49.7
"19",2018-09-29,"16:59:16",33.451543,-112.046584,"3","2",38.1,12,1.3,61.3,49.7
"20",2018-09-29,"16:59:16",33.451585,-112.046591,"3","2",38,12,0.6,62.4,51.2
"21",2018-09-29,"16:59:16",33.451593,-112.046578,"3","2",38,12,0.4,62.6,51.8
"22",2018-09-29,"16:58:16",33.451638,-112.046551,"3","2",38.1,12,0.5,63.1,51.9
"23",2018-09-29,"17:00:17",33.451638,-112.046595,"3","2",38.1,12,0.5,63.1,51.9
"24",2018-09-29,"16:58:16",33.451656,-112.046573,"3","2",38,11,0.2,63.2,52.9
"25",2018-09-29,"17:00:17",33.451659,-112.046663,"3","2",38,11,0.2,63.2,52.9
"26",2018-09-29,"17:43:17",33.457861,-112.041079,"7","2",37.7,12,2.1,65.6,50.6
"27",2018-09-29,"17:43:17",33.457861,-112.041079,"7","2",37.7,12,2.1,65.6,50.6
"28",2018-09-29,"17:43:17",33.457861,-112.041078,"7","2",37.7,12,2.1,65.6,50.6
"29",2018-09-29,"17:43:17",33.457859,-112.041078,"7","2",37.7,12,2.1,65.6,50.6
"30",2018-09-29,"17:43:17",33.457859,-112.041078,"7","2",37.7,12,2.1,65.6,50.6
"31",2018-09-29,"17:43:17",33.457858,-112.041078,"7","2",37.7,12,2.1,65.6,50.6
"32",2018-09-29,"17:44:17",33.457858,-112.041076,"7","2",37.7,12,2.1,65.6,50.6
"33",2018-09-29,"17:44:17",33.457856,-112.041076,"7","2",37.7,12,2.1,65.6,50.6
"34",2018-09-29,"17:44:17",33.457855,-112.041081,"7","2",37.7,12,2.1,65.6,50.6
"35",2018-09-29,"17:44:17",33.457855,-112.041081,"7","2",37.7,12,2.1,65.6,50.6
"36",2018-09-29,"17:44:17",33.457855,-112.041081,"7","2",37.7,12,2.1,65.6,50.6
"37",2018-09-29,"17:44:17",33.457855,-112.041081,"7","2",37.7,12,2.1,65.6,50.6
"38",2018-09-29,"17:42:17",33.457864,-112.041079,"7","2",37.7,12,2.1,63.5,49.6
"39",2018-09-29,"17:42:17",33.457863,-112.041079,"7","2",37.7,12,2.1,63.5,49.6
"40",2018-09-29,"17:40:17",33.457881,-112.041136,"7","3",37.7,12,2.1,63.5,50.9
"41",2018-09-29,"17:40:17",33.457881,-112.041136,"7","3",37.7,12,2.1,63.5,50.9
