"","data_code","rec_year","rec_month","rec_day","animal_code","animal_sex","animal_weight","animal_yob"
"1","CBH01",1994,11,8,"813","F",890,1981
"2","CBH01",1994,11,8,"834","F",1074,1983
"3","CBH01",1994,11,8,"B-301","F",1060,1983
"4","CBH01",1994,11,8,"B-402","F",989,1984
"5","CBH01",1994,11,8,"B-403","F",1062,1984
"6","CBH01",1994,11,8,"B-502","F",978,1985
"7","CBH01",1994,11,8,"B-503","F",1068,1985
"8","CBH01",1994,11,8,"B-504","F",1024,1985
"9","CBH01",1994,11,8,"B-601","F",978,1986
"10","CBH01",1994,11,8,"B-602","F",1188,1986
"11","CBH01",1994,11,8,"B-701","F",1030,1987
"12","CBH01",1994,11,8,"B-703","F",950,1987
"13","CBH01",1994,11,8,"B-704","F",1030,1987
"14","CBH01",1994,11,8,"B-706","F",1108,1987
"15","CBH01",1994,11,8,"884","F",1046,1988
"16","CBH01",1994,11,8,"88Z","F",1066,1988
"17","CBH01",1994,11,8,"B-803","F",983,1988
"18","CBH01",1994,11,8,"B-804","F",970,1988
"19","CBH01",1994,11,8,"B-806","F",1060,1988
"20","CBH01",1994,11,8,"899","F",1020,1989
"21","CBH01",1994,11,8,"B-901","F",940,1989
"22","CBH01",1994,11,8,"B-903","F",1011,1989
"23","CBH01",1994,11,8,"B-904","F",996,1989
"24","CBH01",1994,11,8,"B-905","F",828,1989
"25","CBH01",1994,11,8,"B-906","F",1052,1989
"26","CBH01",1994,11,8,"B-907","F",1096,1989
"27","CBH01",1994,11,8,"B-908","F",1004,1989
"28","CBH01",1994,11,8,"B-909","F",812,1989
"29","CBH01",1994,11,8,"W-001","F",930,1990
"30","CBH01",1994,11,8,"W-004","F",950,1990
"31","CBH01",1994,11,8,"W-005","F",917,1990
"32","CBH01",1994,11,8,"W-007","F",900,1990
"33","CBH01",1994,11,8,"W-008","F",884,1990
"34","CBH01",1994,11,8,"910","M",982,1991
"35","CBH01",1994,11,8,"91C","M",1020,1991
"36","CBH01",1994,11,8,"91F","M",1050,1991
"37","CBH01",1994,11,8,"91H","M",1037,1991
"38","CBH01",1994,11,8,"91J","M",1104,1991
"39","CBH01",1994,11,8,"91K","M",1306,1991
"40","CBH01",1994,11,8,"91L","M",1122,1991
"41","CBH01",1994,11,8,"91M","M",1136,1991
"42","CBH01",1994,11,8,"91P","M",996,1991
"43","CBH01",1994,11,8,"91W","M",954,1991
"44","CBH01",1994,11,8,"91Y","M",1184,1991
"45","CBH01",1994,11,8,"W-103","F",932,1991
"46","CBH01",1994,11,8,"201","M",650,1992
"47","CBH01",1994,11,8,"202","M",794,1992
"48","CBH01",1994,11,8,"204","M",840,1992
"49","CBH01",1994,11,8,"205","M",738,1992
"50","CBH01",1994,11,8,"206","M",790,1992
"51","CBH01",1994,11,8,"209","M",892,1992
"52","CBH01",1994,11,8,"W-208","F",748,1992
"53","CBH01",1994,11,8,"W-210","F",714,1992
"54","CBH01",1994,11,8,"Y11","M",656,1992
"55","CBH01",1994,11,8,"Y12","M",792,1992
"56","CBH01",1994,11,8,"Y13","F",724,1992
"57","CBH01",1994,11,8,"Y15","F",694,1992
"58","CBH01",1994,11,8,"Y16","F",563,1992
"59","CBH01",1994,11,8,"Y18","M",800,1992
"60","CBH01",1994,11,8,"Y2","M",760,1992
"61","CBH01",1994,11,8,"Y21","F",694,1992
"62","CBH01",1994,11,8,"Y22","F",742,1992
"63","CBH01",1994,11,8,"Y23","F",720,1992
"64","CBH01",1994,11,8,"Y24","M",606,1992
"65","CBH01",1994,11,8,"Y25","M",784,1992
"66","CBH01",1994,11,8,"Y26","F",620,1992
"67","CBH01",1994,11,8,"Y27","F",612,1992
"68","CBH01",1994,11,8,"Y3","M",732,1992
"69","CBH01",1994,11,8,"Y30","F",882,1992
"70","CBH01",1994,11,8,"Y6","F",772,1992
"71","CBH01",1994,11,8,"Y9","M",922,1992
"72","CBH01",1994,11,8,"302","M",359,1993
"73","CBH01",1994,11,8,"OR 10","F",478,1993
"74","CBH01",1994,11,8,"OR 11","F",532,1993
"75","CBH01",1994,11,8,"OR 12","M",239,1993
"76","CBH01",1994,11,8,"OR 14","M",353,1993
"77","CBH01",1994,11,8,"OR 15","F",442,1993
"78","CBH01",1994,11,8,"OR 16","M",442,1993
"79","CBH01",1994,11,8,"OR 18","M",265,1993
"80","CBH01",1994,11,8,"OR 2","F",496,1993
"81","CBH01",1994,11,8,"OR 20","M",313,1993
"82","CBH01",1994,11,8,"OR 21","M",191,1993
"83","CBH01",1994,11,8,"OR 25","M",331,1993
"84","CBH01",1994,11,8,"OR 26","F",576,1993
"85","CBH01",1994,11,8,"OR 28","F",500,1993
"86","CBH01",1994,11,8,"OR 3","M",413,1993
"87","CBH01",1994,11,8,"OR 30","M",249,1993
"88","CBH01",1994,11,8,"OR 31","F",566,1993
"89","CBH01",1994,11,8,"OR 33","M",252,1993
"90","CBH01",1994,11,8,"OR 35","M",235,1993
"91","CBH01",1994,11,8,"OR 37","F",554,1993
"92","CBH01",1994,11,8,"OR 38","F",506,1993
"93","CBH01",1994,11,8,"OR 39","M",478,1993
"94","CBH01",1994,11,8,"OR 4","F",374,1993
"95","CBH01",1994,11,8,"OR 40","M",347,1993
"96","CBH01",1994,11,8,"OR 42","M",300,1993
"97","CBH01",1994,11,8,"OR 44","M",295,1993
"98","CBH01",1994,11,8,"OR 46","F",488,1993
"99","CBH01",1994,11,8,"OR 5","F",504,1993
"100","CBH01",1994,11,8,"OR 6","F",486,1993
"101","CBH01",1994,11,8,"OR 7","F",484,1993
"102","CBH01",1994,11,8,"OR 9","F",474,1993
"103","CBH01",1994,11,8,"W-304","M",534,1993
"104","CBH01",1994,11,8,"W-401","M",196,1994
"105","CBH01",1994,11,8,"W-402","M",218,1994
"106","CBH01",1994,11,8,"W-403","M",306,1994
"107","CBH01",1994,11,8,"W-404","M",330,1994
"108","CBH01",1994,11,8,"W-405","M",312,1994
"109","CBH01",1994,11,8,"W-406","M",410,1994
"110","CBH01",1994,11,8,"W-407","F",288,1994
"111","CBH01",1994,11,8,"W-408","M",286,1994
"112","CBH01",1994,11,8,"W-409","M",350,1994
"113","CBH01",1994,11,8,"W-410","F",262,1994
"114","CBH01",1994,11,8,"W-412","M",206,1994
"115","CBH01",1994,11,8,"W-413","F",282,1994
"116","CBH01",1994,11,8,"W-414","M",326,1994
"117","CBH01",1994,11,8,"W-415","F",274,1994
"118","CBH01",1994,11,8,"W-416","F",292,1994
"119","CBH01",1994,11,8,"W-417","M",268,1994
"120","CBH01",1994,11,8,"W-418","M",306,1994
"121","CBH01",1994,11,8,"W-419","M",294,1994
"122","CBH01",1994,11,8,"W-420","F",346,1994
"123","CBH01",1994,11,8,"W-421","F",202,1994
"124","CBH01",1994,11,8,"W-422","M",200,1994
"125","CBH01",1994,11,8,"W-423","M",336,1994
"126","CBH01",1994,11,8,"W-424","M",338,1994
"127","CBH01",1994,11,8,"W-425","F",248,1994
"128","CBH01",1994,11,8,"W-426","F",330,1994
"129","CBH01",1994,11,8,"W-427","M",272,1994
"130","CBH01",1994,11,8,"W-428","F",288,1994
"131","CBH01",1994,11,8,"W-429","F",302,1994
"132","CBH01",1994,11,8,"W-430","F",286,1994
"133","CBH01",1994,11,8,"W-431","M",236,1994
"134","CBH01",1994,11,8,"W-432","F",394,1994
"135","CBH01",1994,11,8,"W-433","F",316,1994
"136","CBH01",1994,11,8,"W-434","M",326,1994
"137","CBH01",1994,11,8,"W-435","M",240,1994
"138","CBH01",1994,11,8,"W-436","F",252,1994
"139","CBH01",1994,11,8,"W-437","F",132,1994
"140","CBH01",1994,11,8,"W-439","M",332,1994
"141","CBH01",1994,11,8,"W-440","M",228,1994
"142","CBH01",1994,11,8,"W-441","M",276,1994
"143","CBH01",1994,11,8,"W-442","M",244,1994
"144","CBH01",1994,11,8,"W-452","F",310,1994
"145","CBH01",1995,11,6,"100","M",1254,NA
"146","CBH01",1995,11,6,"112","F",880,NA
"147","CBH01",1995,11,6,"114","M",1892,NA
"148","CBH01",1995,11,6,"K80","M",1268,NA
"149","CBH01",1995,11,6,"813","F",926,1981
"150","CBH01",1995,11,6,"834","F",1076,1983
"151","CBH01",1995,11,6,"B-301","F",1016,1983
"152","CBH01",1995,11,6,"B-401","F",962,1984
"153","CBH01",1995,11,6,"B-402","F",1042,1984
"154","CBH01",1995,11,6,"B-403","F",1076,1984
"155","CBH01",1995,11,6,"B-501","F",1022,1985
"156","CBH01",1995,11,6,"B-502","F",1014,1985
"157","CBH01",1995,11,6,"B-503","F",1040,1985
"158","CBH01",1995,11,6,"B-504","F",1004,1985
"159","CBH01",1995,11,6,"103","F",1016,1986
"160","CBH01",1995,11,6,"86C","F",936,1986
"161","CBH01",1995,11,6,"B-602","F",1134,1986
"162","CBH01",1995,11,6,"101","F",1126,1987
"163","CBH01",1995,11,6,"108","M",1728,1987
"164","CBH01",1995,11,6,"87D","F",1120,1987
"165","CBH01",1995,11,6,"B-701","F",1037,1987
"166","CBH01",1995,11,6,"B-703","F",1028,1987
"167","CBH01",1995,11,6,"B-704","F",1076,1987
"168","CBH01",1995,11,6,"B-707","F",994,1987
"169","CBH01",1995,11,6,"884","F",1060,1988
"170","CBH01",1995,11,6,"888","M",1726,1988
"171","CBH01",1995,11,6,"88Q","M",1712,1988
"172","CBH01",1995,11,6,"88Z","F",1048,1988
"173","CBH01",1995,11,6,"B-801","F",1078,1988
"174","CBH01",1995,11,6,"B-802","F",1002,1988
"175","CBH01",1995,11,6,"B-803","F",974,1988
"176","CBH01",1995,11,6,"B-804","F",972,1988
"177","CBH01",1995,11,6,"B-805","F",1090,1988
"178","CBH01",1995,11,6,"B-806","F",1046,1988
"179","CBH01",1995,11,6,"892","M",1306,1989
"180","CBH01",1995,11,6,"893","F",894,1989
"181","CBH01",1995,11,6,"89F","M",1682,1989
"182","CBH01",1995,11,6,"89H","F",1014,1989
"183","CBH01",1995,11,6,"89N","M",1594,1989
"184","CBH01",1995,11,6,"B-902","F",922,1989
"185","CBH01",1995,11,6,"B-903","F",1160,1989
"186","CBH01",1995,11,6,"B-904","F",1000,1989
"187","CBH01",1995,11,6,"B-906","F",1122,1989
"188","CBH01",1995,11,6,"B-907","F",1126,1989
"189","CBH01",1995,11,6,"B-908","F",998,1989
"190","CBH01",1995,11,6,"B-909","F",866,1989
"191","CBH01",1995,11,6,"B-910","F",1112,1989
"192","CBH01",1995,11,6,"B-911","F",1306,1989
"193","CBH01",1995,11,6,"904","M",1552,1990
"194","CBH01",1995,11,6,"905","M",1572,1990
"195","CBH01",1995,11,6,"908","M",1538,1990
"196","CBH01",1995,11,6,"90H","F",952,1990
"197","CBH01",1995,11,6,"90L","M",1422,1990
"198","CBH01",1995,11,6,"90M","M",1312,1990
"199","CBH01",1995,11,6,"90W","M",1512,1990
"200","CBH01",1995,11,6,"90X","M",1408,1990
"201","CBH01",1995,11,6,"W-001","F",972,1990
"202","CBH01",1995,11,6,"W-003","F",950,1990
