"","park_name","year","recreation_visitors","non_recreation_visitors","recreation_hours","non_recreation_hours","concessioner_lodging","concessioner_camping","tent_campers","rv_campers","backcountry","non_recreation_overnight_stays","miscellaneous_overnight_stays"
"1","Abraham Lincoln Birthplace NHP",2022,265707,0,265707,0,0,0,0,0,0,0,0
"2","Acadia NP",2022,3970260,47100,26678263,47100,0,1884,136183,49647,1472,0,9490
"3","Adams NHP",2022,12848,127,12460,63,0,0,0,0,0,0,0
"4","African Burial Ground NM",2022,29743,0,17872,0,0,0,0,0,0,0,0
"5","Agate Fossil Beds NM",2022,16357,0,46052,0,0,0,0,0,0,0,0
"6","Alagnak Wild River",2022,184,68,12528,5529,0,0,0,0,562,253,0
"7","Alibates Flint Quarries NM",2022,7520,0,18801,0,0,0,0,0,0,0,0
"8","Allegheny Portage Railroad NHS",2022,176144,180,286746,48,0,0,0,0,0,0,0
"9","Amistad NRA",2022,912283,60,6775408,13200,0,0,0,9030,0,795,615
"10","Andersonville NHS",2022,60109,0,120218,0,0,0,0,0,0,0,0
"11","Andrew Johnson NHS",2022,52873,0,25382,0,0,0,0,0,0,0,0
"12","Aniakchak NM & PRES",2022,179,78,9633,12726,0,0,0,0,419,609,0
"13","Antietam NB",2022,115619,0,240414,0,0,0,0,0,0,0,321
"14","Apostle Islands NL",2022,254952,0,844620,0,0,0,0,0,13273,0,3420
"15","Appomattox Court House NHP",2022,83483,0,121246,0,0,0,0,0,0,0,0
"16","Arches NP",2022,1460652,0,5413594,0,0,0,14913,20216,272,0,7585
"17","Arkansas Post NMEM",2022,22791,0,34183,0,0,0,0,0,0,0,0
"18","Arlington House The R.E. Lee MEM",2022,306686,0,153343,0,0,0,0,0,0,0,0
"19","Assateague Island NS",2022,2340269,3600,19899961,3600,0,0,36543,25887,1020,0,7473
"20","Aztec Ruins NM",2022,50396,1533,75594,1533,0,0,0,0,0,0,0
"21","Badlands NP",2022,1006809,55984,4297631,27992,10375,14929,2710,590,2319,0,0
"22","Bandelier NM",2022,210941,840,883788,216,0,0,2315,6623,334,0,4684
"23","Belmont-Paul Women's Equality NM",2022,0,0,0,0,0,0,0,0,0,0,0
"24","Bent's Old Fort NHS",2022,26057,0,45598,0,0,0,0,0,0,0,0
"25","Bering Land Bridge NPRES",2022,2642,1126,34878,20624,0,0,0,0,1123,484,0
"26","Big Bend NP",2022,514107,2700,9332836,8100,18184,3213,26609,20415,55173,0,8221
"27","Big Cypress NPRES",2022,2903159,0,6147723,0,0,0,8591,22275,431,0,1454
"28","Big Hole NB",2022,54781,0,74509,0,0,0,0,0,0,0,0
"29","Big South Fork NRRA",2022,797726,0,5748518,0,599,0,14408,38843,9610,0,2896
"30","Big Thicket NPRES",2022,276788,0,800478,0,0,0,0,0,1344,0,0
"31","Bighorn Canyon NRA",2022,217660,6900,925499,3447,0,0,2003,8605,401,0,0
"32","Biscayne NP",2022,701023,0,2176928,0,0,0,2267,0,0,0,810
"33","Black Canyon of the Gunnison NP",2022,297257,0,1687494,0,0,0,14854,12945,1685,0,0
"34","Blue Ridge PKWY",2022,15711004,1942260,97778068,971136,36272,0,65152,42475,1117,0,1319
"35","Bluestone NSR",2022,14113,0,35283,0,0,0,0,0,0,0,0
"36","Booker T. Washington NM",2022,20396,84,22672,12,0,0,0,0,0,0,0
"37","Boston African American NHS",2022,390765,0,781530,0,0,0,0,0,0,0,0
"38","Boston Harbor Islands NRA",2022,29241,0,7310,0,0,0,0,0,0,0,0
"39","Boston NHP",2022,2123246,50040,1824671,8506,0,0,0,0,0,0,0
"40","Brown v. Board of Education NHP",2022,15564,0,31128,0,0,0,0,0,0,0,0
"41","Bryce Canyon NP",2022,2354660,409353,12544211,122804,45674,0,45527,40305,1657,0,1376
"42","Buck Island Reef NM",2022,45365,10,259427,40,0,0,0,0,0,0,3840
"43","Buffalo NR",2022,1306932,0,7376537,0,3394,0,49112,38047,16590,0,24017
"44","Cabrillo NM",2022,768076,81792,1149321,20447,0,0,0,0,0,0,0
"45","Camp Nelson NM",2022,16217,0,12162,0,0,0,0,0,0,0,0
"46","Canaveral NS",2022,2122075,0,5372318,0,0,0,0,0,2874,0,0
"47","Cane River Creole NHP",2022,14811,0,29617,0,0,0,0,0,0,0,0
"48","Canyon de Chelly NM",2022,354972,517100,2441861,1034201,15051,10949,0,0,3,0,0
"49","Canyonlands NP",2022,779147,0,5326230,0,0,0,7500,7955,80264,0,2019
"50","Cape Cod NS",2022,3968672,29548,7739563,177288,0,0,0,0,0,0,8146
"51","Cape Hatteras NS",2022,2862844,149140,15986613,448626,0,0,72816,79406,0,100,2978
"52","Cape Krusenstern NM",2022,17403,7800,199255,209400,0,0,0,0,6225,6125,0
"53","Cape Lookout NS",2022,541533,2160,2866639,6480,0,0,0,0,21420,0,24512
"54","Capitol Reef NP",2022,1227608,68627,1908030,68627,0,0,24023,25923,3393,0,2994
"55","Capulin Volcano NM",2022,88541,365,121311,365,0,0,0,0,0,0,0
"56","Carl Sandburg Home NHS",2022,79123,0,79123,0,0,0,0,0,0,0,0
"57","Carlsbad Caverns NP",2022,390932,0,1483277,0,0,0,0,0,66,0,0
"58","Carter G. Woodson Home NHS",2022,0,0,0,0,0,0,0,0,0,0,0
"59","Casa Grande Ruins NM",2022,78557,2160,107003,216,0,0,0,0,0,0,0
"60","Castillo de San Marcos NM",2022,624841,0,468630,0,0,0,0,0,0,0,0
"61","Castle Clinton NM",2022,3471661,149,1737636,28,0,0,0,0,0,0,0
"62","Catoctin Mountain Park",2022,450322,209130,1769852,23007,0,0,8954,213,746,0,21228
"63","Cedar Breaks NM",2022,688644,60596,1450190,121194,0,0,2049,2001,0,0,0
"64","Cesar E. Chavez NM",2022,11585,0,5793,0,0,0,0,0,0,0,0
"65","Chaco Culture NHP",2022,41594,10560,710863,10560,0,0,10784,9522,0,0,734
"66","Chamizal NMEM",2022,17673,47594,17673,166578,0,0,0,0,0,0,0
"67","Channel Islands NP",2022,323245,14192,4624988,340570,0,0,0,0,28210,9010,45077
"68","Charles Pinckney NHS",2022,12585,0,25177,0,0,0,0,0,0,0,0
"69","Charles Young Buffalo Soldiers NM",2022,3518,0,4334,0,0,0,0,0,0,0,0
"70","Chattahoochee River NRA",2022,3537848,0,14151389,0,0,0,0,0,0,0,0
"71","Chesapeake & Ohio Canal NHP",2022,4286185,11880,9153193,11880,0,0,16163,1399,0,0,14706
"72","Chickamauga & Chattanooga NMP",2022,964272,2286091,1871852,342915,0,0,0,0,0,0,2174
"73","Chickasaw NRA",2022,1455530,1636992,6025690,130957,0,0,52682,46603,0,0,18240
"74","Chiricahua NM",2022,61377,3600,423459,1200,0,0,9788,5243,0,0,1845
"75","Christiansted NHS",2022,96587,0,53636,0,0,0,0,0,0,0,0
"76","City of Rocks NRES",2022,83996,0,293981,0,0,0,0,0,0,0,0
"77","Clara Barton NHS",2022,673,0,673,0,0,0,0,0,0,0,0
"78","Colonial NHP",2022,2762273,1682553,2894862,841276,0,0,0,0,0,0,0
"79","Colorado NM",2022,480442,364961,1599199,182481,0,0,20068,18004,112,0,0
"80","Congaree NP",2022,204522,0,905268,0,0,0,6055,0,805,0,7725
"81","Coronado NMEM",2022,131359,2508,143393,1248,0,0,0,0,0,0,0
"82","Cowpens NB",2022,212534,0,191020,0,0,0,0,0,0,0,0
"83","Crater Lake NP",2022,527259,49600,2863605,24800,31154,24384,0,0,1588,0,0
"84","Craters of the Moon NM & PRES",2022,237774,0,724731,0,0,0,5225,11453,198,0,917
"85","Cumberland Gap NHP",2022,732916,6306152,1725162,3153076,0,0,6743,17723,926,0,2187
"86","Cumberland Island NS",2022,64387,0,852696,0,0,0,17849,0,3374,0,0
"87","Curecanti NRA",2022,992749,0,4036269,0,0,0,13028,32584,463,0,340
"88","Cuyahoga Valley NP",2022,2913312,0,8151031,0,6586,0,0,0,0,0,3782
"89","Dayton Aviation Heritage NHP",2022,81303,0,111719,0,0,0,0,0,0,0,0
"90","De Soto NMEM",2022,173150,0,285697,0,0,0,0,0,0,0,0
"91","Death Valley NP",2022,1128862,44315,8659638,66470,23067,2862,81453,95799,3283,0,471
"92","Delaware Water Gap NRA",2022,4380225,54000,18315066,27000,0,11571,0,0,13142,0,14995
"93","Denali NP & PRES",2022,427562,903543,5350801,225885,0,19877,0,0,33335,0,0
"94","Devils Postpile NM",2022,144453,0,505589,0,0,0,0,0,0,0,0
