"","date","site","station","utm_easting","utm_northing","sex","concentration_pg_g","elev_m"
"1",2018-06-08,"Cable Gate","Cable Gate 1",451373,4432963,"male",11563.40758,3343.246582
"2",2018-06-08,"Cable Gate","Cable Gate 2",451411,4432985,"male",10629.14328,3353.369629
"3",2018-06-08,"Cable Gate","Cable Gate 3",451462,4432991,"male",10923.56761,3357.71875
"4",2018-06-13,"West Knoll","West Knoll 3",449317,4434093,"male",10413.54461,3577.989014
"5",2018-06-13,"West Knoll","West Knoll 4",449342,4434141,"male",13530.58929,3584.194336
"6",2018-06-13,"West Knoll","West Knoll 5",449323,4434273,NA,7798.556309,3594.827393
"7",2018-06-13,"West Knoll","West Knoll 6",449243,4434156,"male",4714.955872,3603.312256
"8",2018-06-13,"West Knoll","West Knoll 7",449223,4434233,NA,2086.739083,3616.445557
"9",2018-06-13,"West Knoll","West Knoll 8",449244,4434292,"male",12898.84405,3606.109375
"10",2018-06-13,"West Knoll","West Knoll 10",449438,4434201,"male",11328.85854,3566.696533
"11",2018-06-21,"West Knoll","West Knoll 12",449077,4434440,NA,3373.775631,3580.776123
"12",2018-06-21,"West Knoll","West Knoll 13",449131,4434534,"male",7588.360814,3559.896729
"13",2018-06-25,"Long Lake","Long Lake 1",449927,4435565,NA,10202.31908,3295.538086
"14",2018-06-25,"Long Lake","Long Lake 2",449891,4435517,NA,8032.843488,3305.235352
"15",2018-06-25,"Long Lake","Long Lake 3",449882,4435616,NA,7622.995779,3278.479492
"16",2018-06-25,"West Knoll","West Knoll 6",449246,4434155,"male",7451.387454,3603.312256
"17",2018-06-25,"West Knoll","West Knoll 11",449012,4434389,NA,9681.781474,3589.890137
"18",2018-06-13,"Cable Gate","Cable Gate 4",451613,4433243,NA,9166.906396,3406.548096
"19",2018-06-29,"Cable Gate","Cable Gate 1",451373,4432966,"male",3101.191785,3343.246582
"20",2018-06-29,"Cable Gate","Cable Gate 3",451461,4432990,"male",8464.726516,3357.71875
"21",2018-07-11,"West Knoll","West Knoll 1",448886,4434072,"male",2555.501229,3602.490967
"22",2018-07-11,"West Knoll","West Knoll 2",449048,4434136,NA,2656.357971,3609.731934
