"","city","bedrooms","bathrooms","sq_ft","price"
"1","Arroyo Grande",3,3,2371,795000
"2","Paso Robles",4,3,2818,399000
"3","Paso Robles",4,3,3032,545000
"4","Morro Bay",4,4,3540,909000
"5","Santa Maria-Orcutt",3,1,1249,109900
"6","Oceano",3,3,1800,324900
"7","Santa Maria-Orcutt",4,2,1603,192900
"8","Santa Maria-Orcutt",3,2,1450,215000
"9","Morro Bay",4,3,3360,999000
"10","Atascadero",3,2,1323,319000
"11","Santa Maria-Orcutt",3,2,1750,350000
"12","Santa Maria-Orcutt",3,2,1400,249000
"13","Arroyo Grande",2,2,1257,299000
"14","Santa Maria-Orcutt",3,2,1400,235900
"15","Santa Maria-Orcutt",3,2,1600,348000
"16","Paso Robles",4,3,1794,314000
"17","Los Alamos",4,2,1850,399000
"18","San Miguel",3,3,2950,599000
"19","Paso Robles",3,2,1719,299000
"20","San Luis Obispo",3,3,1472,425000
"21","Morro Bay",4,3,4168,1100000
"22","Cayucos",3,3,3880,1500000
"23","Santa Maria-Orcutt",2,1,1000,110000
"24","Santa Maria-Orcutt",3,2,1139,200000
"25","Santa Maria-Orcutt",3,1,1080,134900
"26","Santa Maria-Orcutt",4,3,2000,250000
"27","Pismo Beach",3,4,1920,950000
"28","Santa Maria-Orcutt",4,2,1348,239950
"29","Santa Maria-Orcutt",3,2,1280,170000
"30","Santa Maria-Orcutt",3,2,2400,285000
"31","Santa Maria-Orcutt",3,3,1700,279000
"32","Santa Maria-Orcutt",3,2,1600,219000
"33","Santa Maria-Orcutt",3,2,1050,155000
"34","Atascadero",3,2,1415,389000
"35","Nipomo",3,1,1110,340000
"36","Guadalupe",2,1,797,95000
"37","Santa Maria-Orcutt",2,2,1100,140000
"38","Pismo Beach",3,3,2602,1100000
"39","Santa Maria-Orcutt",4,3,2351,360000
"40","Morro Bay",3,3,1350,415000
"41","Santa Maria-Orcutt",4,2,1206,250000
"42","Santa Maria-Orcutt",3,3,2628,559000
"43","Nipomo",3,3,2365,525000
"44","Los Osos",3,3,2990,779000
"45","Arroyo Grande",3,2,1750,595000
"46","Templeton",4,5,5500,1150000
"47","Templeton",3,2,1852,550000
