"","shipment_date","port","import_export","taxa","genus","species","quantity","value"
"1",2002-12-09,"SF","I","mammal","Hippotragus","niger",1,0
"2",2005-07-28,"LO","I","shell","Pinctada","nigra",3480,7086
"3",2006-04-23,"AT","I","mammal","Equus","burchellii",3,486
"4",2003-03-27,"NY","I","reptile","Varanus","niloticus",15,12434
"5",2003-06-27,"CP","I","mammal","Chinchilla","sp.",1,245
"6",2005-06-23,"MI","I","bird","Tiaris","olivacea",3,0
"7",2006-09-13,"1","I","mammal","Oreamnos","americanus",1,0
"8",2014-09-06,"ME","I","shell","Pinctada","maxima",578,NA
"9",2011-04-28,"LA","I","echinoderms","Holothuria","sp.",2515,NA
"10",2013-02-20,"LA","I","shell","Octopus","vulgaris",6,202
"11",2006-07-20,"HA","I","shell","Placuna","placenta",180,174
"12",2002-08-15,"LA","I","bird","Struthio","camelus",620,44139
"13",2013-03-15,"LA","I","coral","Montipora","sp.",24,132
"14",2011-02-22,"LA","I","coral","Cynarina","lacrymalis",1,NA
"15",2012-10-18,"HN","I","fish","Non-CITES entry","sp.",100,6
"16",2009-05-09,"NY","I","mammal","Antidorcas","marsupialis",1,NA
"17",2008-05-31,"NY","I","reptile","Python","molurus",2,NA
"18",2008-06-17,"NW","I","reptile","Elaphe","carinata",27,NA
"19",2005-10-11,"NY","I","mammal","Aepyceros","melampus",1,50
"20",2006-03-03,"SF","I","shell","Trochus","niloticus",63,5
"21",2009-11-19,"NY","I","coral","Leptoseris","sp.",2,NA
"22",2001-11-16,"NY","I","mammal","Alopex","lagopus",1,60
"23",2006-01-17,"NW","I","mammal","Cryptoprocta","ferox",4,20
"24",2011-09-15,"LA","I","shell","Pinctada","margaritifera",2476,2476
"25",2011-03-21,"HN","I","mammal","Antidorcas","marsupialis",1,NA
"26",2009-02-27,"SY","I","shell","Melongena","sp.",5818,NA
"27",2008-11-13,"HA","I","insect","Non-CITES entry","sp.",6,NA
"28",2006-10-11,"DS","I","bird","Anas","americana",1,0
"29",2011-09-30,"DS","I","bird","Anas","discors",1,0
"30",2005-01-18,"AN","I","bird","Phasianus","colchicus",1488,3
"31",2013-09-29,"NY","I","mammal","Procyon","lotor",4,NA
"32",2011-05-13,"ME","I","shell","Pinctada","maxima",12,156
"33",2002-10-05,"EA","I","bird","Anser","albifrons",3,0
"34",2007-04-07,"SF","I","coral","Montastraea","valenciennesii",5,27
"35",2005-03-30,"NW","I","shell","Pinctada","margaritifera",11175,12166
"36",2010-06-12,"LA","I","coral","Goniopora","sp.",10,NA
"37",2014-10-31,"DF","I","mammal","Loxodonta","africana",6,NA
"38",2013-11-09,"LA","I","coral","Plerogyra","sinuosa",3,NA
"39",2007-08-27,"CP","I","mammal","Vulpes","vulpes",19,1900
"40",2009-03-15,"NY","I","reptile","Elaphe","carinata",47,NA
"41",2009-07-29,"LA","I","shell","Pecten","sp.",1333,NA
"42",2010-11-24,"BL","I","shell","Nassarius","pullus",2,NA
"43",2008-01-18,"LA","I","fish","Hippocampus","kuda",200,NA
"44",2011-07-25,"HA","I","shell","Cypraea","annulus",65,0
"45",2005-12-21,"LO","I","mammal","Odocoileus","virginianus",56,42
"46",2007-03-03,"LA","I","coral","Porites","sp.",4,12
"47",2005-09-26,"SF","I","coral","Favites","abdita",7,26
"48",2001-01-23,"HA","I","coral","Fungia","sp.",2,5
"49",2001-04-21,"NY","I","reptile","Alligator","mississippiensis",5,625
"50",2010-03-23,"LO","I","shell","Pinctada","margaritifera",4,NA
"51",2004-03-06,"AT","I","bird","Coturnix","coturnix",10,17
"52",2010-09-10,"NW","I","mammal","Cervus","elaphus",35,NA
"53",2004-12-21,"MI","I","fish","Tropical fish","(freshwater sp.)",9950,2262
